code;name;unit;location;activity type;reference product;database;production amount;material_group;ISIC;CPC
409165ab05e70abd0a1782b5cb337be8;market for electricity, high voltage;kilowatt hour;MK;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
6f0127b8b3821a7f0dadf0ab01c16d6c;market for water, decarbonised;kilogram;BR;market activity;water, decarbonised;apos391;1.0;water;3600:Water collection, treatment and supply;18000: Natural water
8633155f8a9d18bc0bf35540049c5a44;market for electricity, medium voltage;kilowatt hour;AE;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
9ca76fea977fdde69eb7a2e102adce0f;market for copper, cathode;kilogram;GLO;market activity;copper, cathode;apos391;1.0;copper;2420:Manufacture of basic precious and other non-ferrous metals;"41413: Refined copper and copper alloys, unwrought; master alloys of copper"
7f6d67f5dd41b64291eacc5da0f0686b;market for electricity, low voltage;kilowatt hour;TN;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
ad3a4326b21cb4c88a484e60083bd41f;market for electricity, low voltage;kilowatt hour;SA;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
1fe6b17753822b9579a17c7689272fc5;market for electricity, high voltage;kilowatt hour;IT;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
fc3c08e0bafa731725f7998514a7c95c;market for electricity, high voltage;kilowatt hour;HN;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
353c9faa9901ab1fba091b893e81250a;market for electricity, high voltage;kilowatt hour;CN-CCG;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
97f899b3c1c1b2d2e9554123f54bebe4;market for electricity, high voltage;kilowatt hour;GH;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
95a8ff6bd0ffa226ed84ecd8a4c97f39;market for electricity, low voltage;kilowatt hour;NE;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
46627a038c3aafaf4c0c361dd56a21d0;market for electricity, low voltage;kilowatt hour;BY;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
5f82bf547582346121e62752c7f49e21;market for electricity, low voltage;kilowatt hour;US-ASCC;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
10cb89e150edc8b193e4fb5e478e9b07;market for electricity, low voltage;kilowatt hour;EE;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
7afd6bff2dff3c74e4cb8da22f6cd969;market for electricity, medium voltage;kilowatt hour;CG;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
87b6fe056f3340980205aaf5ecba24bc;market for electricity, low voltage;kilowatt hour;XK;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
22ed83217016bcd2c492a63f3e00045b;market for electricity, high voltage;kilowatt hour;HT;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
66823d98e86adf6294c7f41e2ed2b865;market for electricity, low voltage;kilowatt hour;IE;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
f6d0e4804812fdd0856e216629337ed4;market for fluorspar, 97% purity;kilogram;GLO;market activity;fluorspar, 97% purity;apos391;1.0;fluorspar;0891:Mining of chemical and fertilizer minerals;16190: Other chemical minerals
fd9c13749d835fbe7008c6f86546841f;market for electricity, high voltage;kilowatt hour;UY;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
b7b480714d46ec10d32fdb16ef961823;market for electricity, medium voltage;kilowatt hour;KW;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
b59d6d2468ac353b05726a08be6562f0;market for electricity, medium voltage;kilowatt hour;US-NPCC;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
99ecc37970fffbd84fcf11573d7eae51;market for water, decarbonised;kilogram;CA;market activity;water, decarbonised;apos391;1.0;water;3600:Water collection, treatment and supply;18000: Natural water
e185610a4eb320a0de28d0c7c302509f;market for electricity, high voltage;kilowatt hour;TR;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
0758b05305b3c52d6e1937267856759e;market for electricity, medium voltage;kilowatt hour;CA-ON;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
6c8c98e95ed05e9c1e758c0b34912138;market for electricity, low voltage;kilowatt hour;BD;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
bde9dfe15153d87702cc12b0de31f0dc;market for electricity, medium voltage;kilowatt hour;BG;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
