code;name;unit;location;activity type;reference product;database;production amount;material_group;ISIC;CPC
2bd46d1fbbacf21f8da1507564d4d710;market for natural gas, low pressure;cubic meter;RoE;market activity;natural gas, low pressure;con391;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";69120: Gas distribution through mains (on own account)
b7667c7fa41ed515d9e212724650b583;market for electricity, high voltage;kilowatt hour;ME;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
74bd8242de8d8e4edbf7754af71d214f;market for electricity, high voltage;kilowatt hour;RU;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
e72a43f8de3561f17050535627eacc5a;market for electricity, high voltage;kilowatt hour;DZ;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
78f5485d7a1a04dba9e34e227cf31ea3;market for electricity, low voltage;kilowatt hour;LV;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
b28b4e93d79feede22534c6479cc1ab7;market for copper, cathode;kilogram;GLO;market activity;copper, cathode;con391;1.0;copper;2420:Manufacture of basic precious and other non-ferrous metals;"41413: Refined copper and copper alloys, unwrought; master alloys of copper"
3dd65d976d2aa05647ae0f9c8d521f00;market for electricity, medium voltage;kilowatt hour;US-TRE;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
cdec476a0b9fcadd3173eb4be474b837;market for electricity, high voltage;kilowatt hour;NO;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
21ed9273b5a0b22cbb73c479b9a12b6f;market for water, ultrapure;kilogram;RoW;market activity;water, ultrapure;con391;1.0;water;3600:Water collection, treatment and supply;34: Basic chemicals
c820cb79449fe41e0f8fcc55370ea968;market for electricity, medium voltage;kilowatt hour;MY;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
978f60694244116a86c6e077da7113f4;market for electricity, low voltage;kilowatt hour;VE;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
82a47748e401365d11e0784001c6a15e;market for electricity, low voltage;kilowatt hour;EE;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
2124164a863f591d33ead647a3aa3ef2;market for water, decarbonised;kilogram;DE;market activity;water, decarbonised;con391;1.0;water;3600:Water collection, treatment and supply;18000: Natural water
e30a88468fdfe7a7eb36bf58dcf90f86;market for electricity, low voltage;kilowatt hour;CA-NS;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
68e1c3d348fddf2e8999bf48cdc1433d;market for electricity, high voltage;kilowatt hour;IN-North-eastern grid;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
866849b96d8b41acdbef8d31bf4dd85e;market for bauxite;kilogram;GLO;market activity;bauxite;con391;1.0;bauxite;0729:Mining of other non-ferrous metal ores;14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
79f7e389e1e9fe67359c8a28f2f5cc2e;market for electricity, high voltage;kilowatt hour;RS;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
1c4268a838d0a94877d3d3648f16b169;market for electricity, high voltage;kilowatt hour;CA-NF;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
13c49338076980d56ae70940acc8ac2b;market for natural gas, low pressure;cubic meter;CH;market activity;natural gas, low pressure;con391;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";69120: Gas distribution through mains (on own account)
6773265d8c4e5b42f1f79a90db599664;market for natural gas, low pressure;cubic meter;IT;market activity;natural gas, low pressure;con391;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";69120: Gas distribution through mains (on own account)
eef430094654fcdaa8e455bdeffce5a2;market for silicon tetrahydride;kilogram;GLO;market activity;silicon tetrahydride;con391;1.0;silicon;2011:Manufacture of basic chemicals;342: Basic inorganic chemicals n.e.c.
48bbc66543c8e4098b6aa1be363c7eb7;market for electricity, low voltage;kilowatt hour;CD;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
2491f933ed456bbc7fb40f84d782dad8;market for natural gas, high pressure;cubic meter;CZ;market activity;natural gas, high pressure;con391;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
eb8c9736e28eaaeccefb38bc70f2b8d4;market for vegetable oil, refined;kilogram;GLO;market activity;vegetable oil, refined;con391;1.0;vegetable oil;1040:Manufacture of vegetable and animal oils and fats;216: Vegetable oils
a6e705df26e4ad59e212a22679766bce;market for electricity, low voltage;kilowatt hour;UZ;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
9e3635d34acb3911f92219f962c2db5d;market for electricity, low voltage;kilowatt hour;IR;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
4a6a66e15038cb82ef1fc9a919aacc7a;market for electricity, high voltage;kilowatt hour;MZ;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
ee1bfcb92173f5d736cf00db52aca0f4;market for electricity, medium voltage;kilowatt hour;IR;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
a0e22026c02cb8ad3532929b935a37be;market for electricity, medium voltage;kilowatt hour;CA-PE;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
28113445b2da7695d43201fae1715bcb;market for electricity, medium voltage;kilowatt hour;BG;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
33df59a848a54fa1ad7d83d30155626f;market for electricity, high voltage;kilowatt hour;PH;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
81dcb0c2b5008518500251bd4cc1d403;market for electricity, medium voltage;kilowatt hour;CO;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
e7990600cfdd6a83d3e9cbb21a36302d;market for electricity, high voltage;kilowatt hour;CZ;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
d607071fa010834b6cb01174a0d98d81;market for natural gas, high pressure;cubic meter;QA;market activity;natural gas, high pressure;con391;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
e7fbc68e2824168de0ca9d989292ce94;market for electricity, medium voltage;kilowatt hour;GR;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
1e0ff24e9244b9f909a787d1c0542d53;market for electricity, low voltage;kilowatt hour;BA;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
d7030e2cb096b3077ec2faa000547822;market for electricity, medium voltage;kilowatt hour;CA-NT;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
a3170ab901f80bf4f9a143cb0d027d94;market for electricity, medium voltage;kilowatt hour;BR-Southern grid;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
98fb89012250b22414c1d71d1d33b232;market for electricity, medium voltage;kilowatt hour;VE;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
f2ce9cadd5839266ef35e375fc5720aa;market for natural gas, high pressure;cubic meter;ID;market activity;natural gas, high pressure;con391;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
af58cff57c2a0f32d32ebc553f667be7;market for electricity, low voltage;kilowatt hour;UA;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
8af27ed48a2e0c9899b83ce1bbbc992d;market for sodium borates;kilogram;GLO;market activity;sodium borates;con391;1.0;borates;0891:Mining of chemical and fertilizer minerals;16190: Other chemical minerals
