code;name;unit;location;reference product;database;material_group;ISIC;CPC
03a81ee85f2743c988f73234211ee840;market for cement, unspecified;kilogram;CHA;cement, unspecified;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;cement;2394:Manufacture of cement, lime and plaster;374: Plaster, lime and cement
29d1c4a73720a7cdb66cb4d65900e445;market for natural gas, high pressure;cubic meter;RO;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
63c1ac90c04ce17ee2378c39a2ce6849;market for natural gas, low pressure;cubic meter;RoW;natural gas, low pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";69120: Gas distribution through mains (on own account)
261ff5396d32499b98b476c28346299b;market for cement, unspecified;kilogram;LAM;cement, unspecified;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;cement;2394:Manufacture of cement, lime and plaster;374: Plaster, lime and cement
14c93a6106e639bb246c06f0a84e2dc7;market for rare earth oxide concentrate, 50% REO;kilogram;GLO;rare earth oxide concentrate, 50% REO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;rare earth;0729:Mining of other non-ferrous metal ores;34290: Compounds of rare earth metals, of yttrium or of scandium
4fe1f2dae4830593ee2d608cb2d5ff2c;market for tap water;kilogram;Europe without Switzerland;tap water;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;water;3600:Water collection, treatment and supply;18000: Natural water
1276e9961272b2ab3cf63c320d7975e1;market for petroleum;kilogram;CH;petroleum;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;petroleum;4661:Wholesale of solid, liquid and gaseous fuels and related products;12010: Petroleum oils and oils obtained from bituminous minerals, crude
cc100c3247ef1ad4d989ab07c51aeb45;market for latex;kilogram;RER;latex;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;latex;2013:Manufacture of plastics and synthetic rubber in primary forms;"34790: Other plastics in primary forms; ion exchangers"
7e3a1b6b65254f399c890d6f37a7dff4;market for natural gas, high pressure;cubic meter;SSA;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
987ab6e22610dd0b21058aecfb826fbd;market for natural gas, low pressure;cubic meter;CH;natural gas, low pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";69120: Gas distribution through mains (on own account)
4c47fb2e57f28bb0ec8f613c349a16d5;market for silicon, single crystal, Czochralski process, electronics;kilogram;RoW;silicon, single crystal, Czochralski process, electronics;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;silicon;2011:Manufacture of basic chemicals;342: Basic inorganic chemicals n.e.c.
b87cf3ec4b8d4236a15b2a4f518777d1;market for cement, unspecified;kilogram;IND;cement, unspecified;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;cement;2394:Manufacture of cement, lime and plaster;374: Plaster, lime and cement
1a07bf6d0564b49db80ab54f5dc3f2c1;market for natural gas, high pressure;cubic meter;GR;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
59cf8916e90678fe85a12f5b5666972e;market for natural gas, high pressure;cubic meter;IT;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
de42c824f46fc684a70a53bccfdba6d0;market for gallium, semiconductor-grade;kilogram;GLO;gallium, semiconductor-grade;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;gallium;2011:Manufacture of basic chemicals;"34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]"
d324aeab28dcbaa4635f5ed8a617cd7f;market for natural gas, high pressure;cubic meter;US;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
72c8c162633f57f8a8679424cf6b588a;market for vegetable oil, refined;kilogram;GLO;vegetable oil, refined;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;vegetable oil;1040:Manufacture of vegetable and animal oils and fats;216: Vegetable oils
40bccd8d0b93d2e058476865a14f0a52;market for natural gas, low pressure;cubic meter;RoE;natural gas, low pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";69120: Gas distribution through mains (on own account)
b887f1bc90244c55a784fec9ad371f2b;market for natural gas, high pressure;cubic meter;OAS;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
