code;name;unit;location;reference product;database;production amount;material_group;ISIC;CPC
a9f91c4caa196532aab0b91be77abbca;market for electricity, low voltage;kilowatt hour;BR-South-eastern/Mid-western grid;electricity, low voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
62988c0fc7fe4b10fe3c94e5cf3a9bc5;market for electricity, medium voltage;kilowatt hour;CO;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
4abe56e4b513b7b989da32e36f43b839;market for electricity, medium voltage;kilowatt hour;KW;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
07d56bfcebb24751d02af52793eb8a3c;market for electricity, medium voltage;kilowatt hour;SG;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
3ded0460e5928b18afebedf613c4e7af;market for electricity, medium voltage;kilowatt hour;CA-NU;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
ea7450563ffa0b4aefd0e94dffde1d90;market for electricity, high voltage;kilowatt hour;CN-CSG;electricity, high voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
fcfbc7a1053e57faab0e6515c9b9740d;market for electricity, medium voltage;kilowatt hour;BH;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
ebedf0367cdb959d30c28db99cc15229;market for electricity, low voltage;kilowatt hour;HU;electricity, low voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
ae8a1651cf099a194452da1d351d17e9;market for water, decarbonised;kilogram;CA;water, decarbonised;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;water;3600:Water collection, treatment and supply;18000: Natural water
987ab6e22610dd0b21058aecfb826fbd;market for natural gas, low pressure;cubic meter;CH;natural gas, low pressure;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";69120: Gas distribution through mains (on own account)
8513f23a14984751377b1cf0505e1ee8;market for electricity, medium voltage;kilowatt hour;CY;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
bc9cec728d1379d06e3a97a1dfac4cfd;market for electricity, low voltage;kilowatt hour;US-HICC;electricity, low voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
