code;name;unit;location;reference product;database;production amount;material_group;ISIC;CPC
d1209a1c88bfcdc9fcb8f31c487f0b3d;market for rare earth carbonate concentrate;kilogram;GLO;rare earth carbonate concentrate;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;rare earth;0729:Mining of other non-ferrous metal ores;34290: Compounds of rare earth metals, of yttrium or of scandium
337dfb767bd83ad05cd3a91d812cd04b;market for rare earth oxide concentrate, 70% REO;kilogram;GLO;rare earth oxide concentrate, 70% REO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;rare earth;0729:Mining of other non-ferrous metal ores;34290: Compounds of rare earth metals, of yttrium or of scandium
32561967720544878bb4a8300043336b;market for cement, unspecified;kilogram;MEA;cement, unspecified;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;cement;2394:Manufacture of cement, lime and plaster;374: Plaster, lime and cement
4c28de4114cc15a555d2c447878fb615;market for magnesium;kilogram;GLO;magnesium;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;magnesium;2420:Manufacture of basic precious and other non-ferrous metals;41601: Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […]
092939308f558fa5308f5dc1d9f34451;market for natural gas, high pressure;cubic meter;JP;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
bd271148459d2f12de53c6f9a5fddba1;market for phosphate rock, beneficiated;kilogram;RER;phosphate rock, beneficiated;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;phosphate rock;0891:Mining of chemical and fertilizer minerals;34629: Other phosphatic fertilizers, n.e.c.
e82e91c0b572e044b71a69b32bf53388;market for silver;kilogram;GLO;silver;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;silver;0729:Mining of other non-ferrous metal ores;41310: Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder […]
6058937a9068fbcffaf6ad7f5a15e9bc;market for natural gas, high pressure;cubic meter;RoE;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
36312a62a043eb8374d232cf30167c22;market for gold;kilogram;GLO;gold;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;gold;0729:Mining of other non-ferrous metal ores;41320: Gold (including gold plated with platinum), unwrought or in semi-manufactured forms, or in powder form
cf3975674b45c9201c02c07569eb6d0a;market for natural gas, high pressure;cubic meter;AE;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
34cb9bfd846dc277697e72765f16ec62;market for natural gas, high pressure;cubic meter;VE;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
8a4083433d869c12677962c263c7dc26;market for cement, unspecified;kilogram;Europe without Switzerland;cement, unspecified;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;cement;2394:Manufacture of cement, lime and plaster;374: Plaster, lime and cement
bf86ce8df62b9874946278b1fe540515;market for cement, unspecified;kilogram;CA-QC;cement, unspecified;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;cement;2394:Manufacture of cement, lime and plaster;374: Plaster, lime and cement
40bccd8d0b93d2e058476865a14f0a52;market for natural gas, low pressure;cubic meter;RoE;natural gas, low pressure;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";69120: Gas distribution through mains (on own account)
fd558441fc3d04fe59887ab30ce51119;market for graphite;kilogram;GLO;graphite;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;graphite;0899:Other mining and quarrying n.e.c.;16390: Other minerals n.e.c.
76253aca7f4c45701935634546516c34;market for silicon, single crystal, Czochralski process, electronics;kilogram;RER;silicon, single crystal, Czochralski process, electronics;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;silicon;2011:Manufacture of basic chemicals;342: Basic inorganic chemicals n.e.c.
4a61290db042f90ac7e28c9428ccd272;market for calcium borates;kilogram;GLO;calcium borates;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;borates;0891:Mining of chemical and fertilizer minerals;346: Fertilizers and pesticides
694cc07129c946339455877c81a8492c;market for cement, unspecified;kilogram;JPN;cement, unspecified;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;cement;2394:Manufacture of cement, lime and plaster;374: Plaster, lime and cement
d1f8d72888b7e9d0a241fda2dcd2ce91;market for natural gas, high pressure;cubic meter;MX;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
66b655b56ac943a093ab5b0c51dc604d;market for cement, unspecified;kilogram;OAS;cement, unspecified;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;cement;2394:Manufacture of cement, lime and plaster;374: Plaster, lime and cement
cc100c3247ef1ad4d989ab07c51aeb45;market for latex;kilogram;RER;latex;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;latex;2013:Manufacture of plastics and synthetic rubber in primary forms;"34790: Other plastics in primary forms; ion exchangers"
a7555dee1e40b2d525daa09bc000a1cb;market for natural gas, high pressure;cubic meter;CZ;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
d314b1e29068be2ad3e1618ab5d43077;market for natural gas, low pressure;cubic meter;FR;natural gas, low pressure;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";69120: Gas distribution through mains (on own account)
e9fb344e05b371d6652480f29b2fadc0;market for natural gas, high pressure;cubic meter;DK;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
1df7aad9fc180c144b0950748ebe90be;market for silicon, solar grade;kilogram;GLO;silicon, solar grade;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;silicon;2011:Manufacture of basic chemicals;342: Basic inorganic chemicals n.e.c.
