('12/13/2023, 17:09:44', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'WasteFootprint_openburning-kilogram', 'additions', 535, 'duration:', '0:16:57.420179')
('12/13/2023, 17:09:47', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'WasteFootprint_recycling-kilogram', 'additions', 150, 'duration:', '0:17:00.117130')
('12/13/2023, 17:11:16', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'WasteFootprint_total-cubicmeter', 'additions', 4868, 'duration:', '0:18:28.642643')
('12/13/2023, 17:20:45', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'WasteFootprint_total-kilogram', 'additions', 31900, 'duration:', '0:27:58.302956')
('12/13/2023, 17:21:49', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2030', 'MaterialFootprint_aluminium', 'additions', 2105, 'duration:', '0:00:47.606549')
('12/13/2023, 17:21:49', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2030', 'MaterialFootprint_antimony', 'additions', 27, 'duration:', '0:00:48.084479')
('12/13/2023, 17:21:50', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2030', 'MaterialFootprint_bauxite', 'additions', 28, 'duration:', '0:00:48.638879')
('12/13/2023, 17:21:50', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2030', 'MaterialFootprint_beryllium', 'additions', 1, 'duration:', '0:00:48.662500')
('12/13/2023, 17:21:50', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2030', 'MaterialFootprint_borates', 'additions', 15, 'duration:', '0:00:48.989999')
('12/13/2023, 17:21:51', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2030', 'MaterialFootprint_cadmium', 'additions', 17, 'duration:', '0:00:49.307183')
('12/13/2023, 17:22:20', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2030', 'MaterialFootprint_cement', 'additions', 1540, 'duration:', '0:01:19.005671')
('12/13/2023, 17:22:20', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2030', 'MaterialFootprint_cerium', 'additions', 3, 'duration:', '0:01:19.053655')
('12/13/2023, 17:22:29', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2030', 'MaterialFootprint_chromium', 'additions', 473, 'duration:', '0:01:27.402885')
('12/13/2023, 17:22:32', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2030', 'MaterialFootprint_coal', 'additions', 146, 'duration:', '0:01:30.287948')
('12/13/2023, 17:22:35', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2030', 'MaterialFootprint_cobalt', 'additions', 166, 'duration:', '0:01:33.184639')
('12/13/2023, 17:22:36', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2030', 'MaterialFootprint_coke', 'additions', 110, 'duration:', '0:01:35.161338')
('12/13/2023, 17:23:00', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2030', 'MaterialFootprint_copper', 'additions', 1237, 'duration:', '0:01:58.242102')
('12/13/2023, 17:23:00', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2030', 'MaterialFootprint_dysprosium', 'additions', 1, 'duration:', '0:01:58.270362')
('12/13/2023, 17:29:56', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2030', 'MaterialFootprint_electricity', 'additions', 23936, 'duration:', '0:08:55.000274')
('12/13/2023, 17:29:56', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2030', 'MaterialFootprint_erbium', 'additions', 1, 'duration:', '0:08:55.023786')
