('12/11/2023, 14:37:50', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'WasteFootprint_incineration-kilogram', 'additions', 2898, 'duration:', '0:15:29.023902')
('12/11/2023, 14:37:50', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'WasteFootprint_landfill-cubicmeter', 'additions', 2, 'duration:', '0:15:29.059130')
('12/11/2023, 14:38:19', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'WasteFootprint_landfill-kilogram', 'additions', 1728, 'duration:', '0:15:58.414180')
('12/11/2023, 14:38:28', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'WasteFootprint_openburning-kilogram', 'additions', 535, 'duration:', '0:16:07.474326')
('12/11/2023, 14:38:31', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'WasteFootprint_recycling-kilogram', 'additions', 150, 'duration:', '0:16:10.094586')
('12/11/2023, 14:39:54', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'WasteFootprint_total-cubicmeter', 'additions', 4868, 'duration:', '0:17:33.227657')
('12/11/2023, 14:49:02', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'WasteFootprint_total-kilogram', 'additions', 31900, 'duration:', '0:26:41.310505')
('12/11/2023, 14:49:21', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_antimony', 'additions', 27, 'duration:', '0:00:00.649934')
('12/11/2023, 14:49:21', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_bauxite', 'additions', 28, 'duration:', '0:00:01.304969')
('12/11/2023, 14:49:21', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_beryllium', 'additions', 1, 'duration:', '0:00:01.328502')
('12/11/2023, 14:49:22', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_borates', 'additions', 15, 'duration:', '0:00:01.671901')
('12/11/2023, 14:49:22', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_cadmium', 'additions', 17, 'duration:', '0:00:02.066308')
('12/11/2023, 14:49:58', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_cement', 'additions', 1540, 'duration:', '0:00:37.563483')
('12/11/2023, 14:49:58', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_cerium', 'additions', 3, 'duration:', '0:00:37.626439')
('12/11/2023, 14:50:07', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_chromium', 'additions', 473, 'duration:', '0:00:46.578276')
('12/11/2023, 14:50:10', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_coal', 'additions', 146, 'duration:', '0:00:49.707476')
('12/11/2023, 14:50:13', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_cobalt', 'additions', 166, 'duration:', '0:00:53.223550')
('12/11/2023, 14:50:15', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_coke', 'additions', 110, 'duration:', '0:00:55.500666')
('12/11/2023, 14:50:39', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_copper', 'additions', 1237, 'duration:', '0:01:19.346844')
('12/11/2023, 14:50:39', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_dysprosium', 'additions', 1, 'duration:', '0:01:19.369565')
('12/11/2023, 14:57:29', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_electricity', 'additions', 23936, 'duration:', '0:08:09.351542')
('12/11/2023, 14:57:29', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_erbium', 'additions', 1, 'duration:', '0:08:09.368338')
('12/11/2023, 14:57:29', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_europium', 'additions', 1, 'duration:', '0:08:09.385335')
('12/11/2023, 14:57:30', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_fluorspar', 'additions', 29, 'duration:', '0:08:09.893611')
('12/11/2023, 14:57:30', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_gadolinium', 'additions', 1, 'duration:', '0:08:09.909759')
('12/11/2023, 14:57:30', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_gallium', 'additions', 4, 'duration:', '0:08:09.986483')
('12/11/2023, 14:57:30', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_gold', 'additions', 11, 'duration:', '0:08:10.169470')
('12/11/2023, 14:57:31', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_graphite', 'additions', 33, 'duration:', '0:08:10.711105')
('12/11/2023, 14:57:32', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_helium', 'additions', 46, 'duration:', '0:08:11.539591')
('12/11/2023, 14:57:32', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_holmium', 'additions', 1, 'duration:', '0:08:11.555964')
('12/11/2023, 14:57:48', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_hydrogen', 'additions', 939, 'duration:', '0:08:28.483435')
('12/11/2023, 14:57:49', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_indium', 'additions', 13, 'duration:', '0:08:28.705645')
('12/11/2023, 14:57:50', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_latex', 'additions', 50, 'duration:', '0:08:29.611143')
