('03/10/2024, 00:57:04', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_lead', 'additions', 211, 'duration:', '0:08:08.087035')
('03/10/2024, 00:57:05', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_lithium', 'additions', 52, 'duration:', '0:08:08.923437')
('03/10/2024, 00:57:09', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_magnesium', 'additions', 264, 'duration:', '0:08:13.278386')
('03/10/2024, 00:58:46', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_natural gas', 'additions', 5825, 'duration:', '0:09:50.677846')
('03/10/2024, 00:58:53', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_nickel', 'additions', 369, 'duration:', '0:09:56.907285')
('03/10/2024, 00:58:53', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_palladium', 'additions', 23, 'duration:', '0:09:57.291100')
('03/10/2024, 00:59:02', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_petroleum', 'additions', 504, 'duration:', '0:10:05.754990')
('03/10/2024, 00:59:05', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_phosphate rock', 'additions', 207, 'duration:', '0:10:09.338015')
('03/10/2024, 00:59:08', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_platinum', 'additions', 170, 'duration:', '0:10:12.180076')
('03/10/2024, 00:59:09', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_rare earth', 'additions', 37, 'duration:', '0:10:12.799456')
('03/10/2024, 00:59:09', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_rhodium', 'additions', 11, 'duration:', '0:10:12.983980')
('03/10/2024, 00:59:18', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_sand', 'additions', 560, 'duration:', '0:10:22.098990')
('03/10/2024, 00:59:18', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_scandium', 'additions', 1, 'duration:', '0:10:22.115094')
('03/10/2024, 00:59:18', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_selenium', 'additions', 9, 'duration:', '0:10:22.252844')
('03/10/2024, 00:59:24', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_silicon', 'additions', 364, 'duration:', '0:10:28.254903')
('03/10/2024, 00:59:25', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_silver', 'additions', 50, 'duration:', '0:10:29.073692')
('03/10/2024, 00:59:25', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_strontium', 'additions', 28, 'duration:', '0:10:29.563521')
('03/10/2024, 00:59:25', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_tantalum', 'additions', 3, 'duration:', '0:10:29.614712')
('03/10/2024, 00:59:25', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_tellurium', 'additions', 2, 'duration:', '0:10:29.658661')
('03/10/2024, 00:59:27', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_tin', 'additions', 111, 'duration:', '0:10:31.552846')
('03/10/2024, 00:59:35', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_titanium', 'additions', 457, 'duration:', '0:10:39.116071')
('03/10/2024, 00:59:35', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_tungsten', 'additions', 5, 'duration:', '0:10:39.192190')
('03/10/2024, 00:59:37', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_uranium', 'additions', 140, 'duration:', '0:10:41.544720')
('03/10/2024, 00:59:38', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_vegetable oil', 'additions', 37, 'duration:', '0:10:42.143600')
('03/10/2024, 01:02:31', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_water', 'additions', 10447, 'duration:', '0:13:35.124443')
('03/10/2024, 01:02:41', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_zinc', 'additions', 593, 'duration:', '0:13:44.736528')
('03/10/2024, 01:02:41', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_zirconium', 'additions', 11, 'duration:', '0:13:44.910565')
('03/10/2024, 01:02:43', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'WasteFootprint_carbondioxide-kilogram', 'additions', 119, 'duration:', '0:13:46.885753')
('03/10/2024, 01:02:43', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'WasteFootprint_composting-kilogram', 'additions', 14, 'duration:', '0:13:47.118743')
('03/10/2024, 01:02:43', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'WasteFootprint_digestion-cubicmeter', 'additions', 6, 'duration:', '0:13:47.216834')
('03/10/2024, 01:02:43', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'WasteFootprint_digestion-kilogram', 'additions', 4, 'duration:', '0:13:47.279538')
('03/10/2024, 01:02:48', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'WasteFootprint_hazardous-cubicmeter', 'additions', 308, 'duration:', '0:13:52.450218')
('03/10/2024, 01:03:15', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'WasteFootprint_hazardous-kilogram', 'additions', 1583, 'duration:', '0:14:19.151051')
('03/10/2024, 01:03:15', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'WasteFootprint_incineration-cubicmeter', 'additions', 2, 'duration:', '0:14:19.181535')
('03/10/2024, 01:03:47', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'WasteFootprint_incineration-kilogram', 'additions', 1954, 'duration:', '0:14:51.515909')
